1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3792
4	R	3792
4	W	3793
0	R	3793
4	J	3826
4	R	3826
4	W	3827
0	R	3827
4	J	3838
4	R	3838
4	W	3838
0	R	3838
4	J	3883
4	R	3883
4	W	3883
0	R	3883
4	J	4128
4	R	4128
6	N	4130
6	J	4130
4	W	4131
6	R	4131
6	E	4136
4	J	4136
4	R	4136
7	N	4137
7	J	4137
4	W	4138
7	R	4138
4	J	4140
7	E	4140
4	R	4140
4	W	4141
0	R	4141
4	J	4170
4	R	4170
4	W	4171
0	R	4171
4	J	6716
4	R	6716
4	W	6716
0	R	6716
4	J	6805
4	R	6805
4	W	6805
0	R	6805
4	J	6902
4	R	6902
4	W	6902
0	R	6902
4	J	6961
4	R	6961
4	W	6961
0	R	6961
4	J	7003
4	R	7003
4	W	7003
0	R	7004
4	J	7028
4	R	7028
4	W	7028
0	R	7028
4	J	7175
4	R	7175
4	W	7176
0	R	7176
4	J	7221
4	R	7221
4	W	7221
0	R	7221
4	J	7266
4	R	7266
4	W	7266
0	R	7266
4	J	7320
4	R	7320
4	W	7320
0	R	7320
4	J	7363
4	R	7364
4	W	7364
0	R	7364
4	J	7411
4	R	7411
4	W	7411
0	R	7411
4	J	7466
4	R	7466
4	W	7466
0	R	7466
4	J	7515
4	R	7515
4	W	7515
0	R	7515
4	J	8324
4	R	8324
4	W	8324
0	R	8325
4	J	8377
4	R	8377
4	W	8377
0	R	8378
4	J	8428
4	R	8428
4	W	8428
0	R	8428
4	J	8465
4	R	8466
4	W	8466
0	R	8466
4	J	8560
4	R	8560
4	W	8560
0	R	8560
4	J	8636
4	R	8636
4	W	8636
0	R	8636
4	J	8717
4	R	8717
4	W	8717
0	R	8717
4	J	8770
4	R	8770
4	W	8770
0	R	8770
4	J	8775
4	R	8775
4	W	8775
0	R	8775
4	J	8827
4	R	8827
4	W	8827
0	R	8827
4	J	8878
4	R	8878
4	W	8878
0	R	8878
4	J	8935
4	R	8935
4	W	8935
0	R	8935
4	J	8974
4	R	8974
4	W	8974
0	R	8974
4	J	9012
4	R	9012
4	W	9012
0	R	9012
4	J	9058
4	R	9058
4	W	9063
0	R	9063
4	J	9113
4	R	9113
4	W	9113
0	R	9113
4	J	9489
4	R	9489
8	N	9490
8	J	9490
4	W	9491
8	R	9491
9	N	9492
9	J	9493
10	N	9493
10	J	9493
11	N	9494
11	J	9494
12	N	9494
12	J	9495
13	N	9495
13	J	9495
14	N	9496
14	J	9496
8	W	9497
14	R	9497
14	J	9512
13	R	9512
13	J	9527
12	R	9527
12	J	9542
11	R	9542
11	J	9557
10	R	9557
10	J	9572
9	R	9572
9	J	9587
14	R	9587
14	J	9602
13	R	9602
13	J	9617
12	R	9617
12	J	9632
11	R	9632
11	J	9647
10	R	9647
10	J	9662
9	R	9662
9	J	9677
14	R	9677
14	J	9692
13	R	9692
13	J	9707
12	R	9707
12	J	9722
11	R	9722
11	J	9737
10	R	9737
10	J	9752
9	R	9752
9	J	9767
14	R	9767
14	J	9782
13	R	9782
13	J	9797
12	R	9797
12	J	9812
11	R	9812
11	J	9827
10	R	9827
10	J	9842
9	R	9842
9	J	9857
14	R	9857
14	J	9872
13	R	9872
13	J	9887
12	R	9887
12	J	9902
11	R	9902
11	J	9917
10	R	9917
10	J	9932
9	R	9932
9	J	9947
14	R	9947
14	J	9962
13	R	9962
13	J	9977
12	R	9977
12	J	9992
